community,n_nodes,mean_weighted_degree,mean_betweenness,mean_pagerank,mean_closeness,mean_eigenvector,total_weighted_degree,top_node,pct_nodes
1,23,27.47826086956522,0.017718413520512472,0.014177884316903701,0.31262101039979134,0.13834968455426236,632.0,Dosovitskiy A_2021_Arxiv; Wang JL_2020_IEEE T SEMICONDUCT M; Wu MJ_2015_IEEE T SEMICONDUCT M; Yu JB_2022_IEEE T IND INFORM; Kyeong K_2018_IEEE T SEMICONDUCT M,25.8
0,29,13.96551724137931,0.017799877490721726,0.010331991727955436,0.28257274957317924,0.05921871285841928,405.0,He KM_2016_PROC CVPR IEEE; Vaswani A_2017_ADV NEUR IN; Liu Z_2021_2021 IEEE/CVF INTERNATIONAL CONFERENCE ON COMPUTER VISION (ICCV 2021); Carion N_2020_Img Proc Comp Vis Re; Simonyan K_2015_Arxiv,32.6
2,12,21.5,0.0005442354580285615,0.01123595505617977,0.09254303617814646,1.3277486056272917e-06,258.0,Gunn SR_1997_IEEE T PATTERN ANAL; Juan Olivier._2006_P CVPR; Chan TF_2001_IEEE T IMAGE PROCESS; Siméoni O_2021_Arxiv; Yang Y_2022_PROC SPIE,13.5
3,7,9.428571428571429,0.01406926406926407,0.010579459273280422,0.2163679269447197,0.0031769715256281263,66.0,Gao JR_2014_DES AUT CON; Banerjee S_2013_ICCAD-IEEE ACM INT; Wang QJ_2022_PROCEEDINGS OF THE 59TH ACM/IEEE DESIGN AUTOMATION CONFERENCE; Jiang BT_2022_IEEE T COMPUT AID D; Su YH_2016_IEEE T COMPUT AID D,7.9
4,4,12.0,0.004571577847439917,0.007818204948324399,0.24627696683358677,0.029477950273808555,48.0,Cheon S_2019_IEEE T SEMICONDUCT M; Nakazawa T_2018_IEEE T SEMICONDUCT M; Alawieh MB_2020_DES AUT CON; Yuan T_2011_IEEE T SEMICONDUCT M,4.5
5,3,9.333333333333334,0.00574712643678161,0.00713164097691638,0.28037090555950533,0.046555756941613714,28.0,Ronneberger O_2015_LECT NOTES COMPUT SC; Chen J._2021_arXiv; Xie EZ_2021_ADV NEUR IN,3.4
9,2,7.5,0.0,0.0058009433918610985,0.30016032045210683,0.04635665237659141,15.0,Mehta S_2022_Arxiv; Hendrycks D_2020_Arxiv,2.2
6,3,4.0,8.707767328456984e-05,0.011235955056179775,0.017676767676767676,2.106975528741083e-18,12.0,Hsu CY_2022_IEEE T SEMICONDUCT M; Wu SM_2021_CONTROL ENG PRACT; Liu CD_2021_IEEE T SEMICONDUCT M,3.4
7,2,3.0,0.0,0.011235955056179775,0.011363636363636364,1.6650806952697154e-20,6.0,Alon N_2015_PROCEEDINGS OF THE TWENTY-FOURTH INTERNATIONAL JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE (IJCAI); Ren SQ_2017_IEEE T PATTERN ANAL,2.2
8,2,3.0,0.0,0.011235955056179775,0.011363636363636364,1.6650806952697154e-20,6.0,Chen R_2019_PROCEEDINGS OF THE 2019 56TH ACM/EDAC/IEEE DESIGN AUTOMATION CONFERENCE (DAC); Jiang YY_2021_IEEE T COMPUT AID D,2.2
10,2,3.0,0.0,0.011235955056179775,0.011363636363636364,1.6650806952697154e-20,6.0,Dhariwal P_2021_ADV NEUR IN; Ho Jonathan_2020_ADV NEURAL INFORM PR,2.2
