source,target,weight
"Chen, YN","Qiao, YB",4.0
"Foucher, J","Sanou, IW",3.0
"Hallal, A","Sanou, IW",3.0
"Foucher, J","Hallal, A",3.0
"Chen, YN","Mei, ZZZ",3.0
"Chen, YN","Luo, YN",3.0
"Baderot, J","Foucher, J",3.0
"Baderot, J","Hallal, A",3.0
"Baderot, J","Sanou, IW",3.0
"Jeong, J","Park, J",3.0
"Mei, ZZZ","Qiao, YB",3.0
"Luo, YN","Mei, ZZZ",3.0
"Luo, YN","Qiao, YB",3.0
"Foucher, J","Martinez, S",2.0
"Burr, GW","Chen, A",2.0
"Burr, GW","Chen, CT",2.0
"Frank, MM","Narayanan, P",2.0
"Chen, CT","Sebastian, A",2.0
"Burr, GW","Frank, MM",2.0
"Chen, A","Sebastian, A",2.0
"Foucher, J","Mazauric, L",2.0
"Deng, YF","Wu, B",2.0
"Frank, MM","Narayanan, V",2.0
"Huang, ZF","Xu, H",2.0
"Burr, GW","Jain, S",2.0
"Huang, ZF","Ma, RJ",2.0
"Jain, S","Narayanan, V",2.0
"Huang, Y","Yella, J",2.0
"Frank, MM","Jain, S",2.0
"Huang, Y","Zhang, C",2.0
"Bom, S","Huang, Y",2.0
"Chen, CT","Frank, MM",2.0
"Frank, MM","Sebastian, A",2.0
"Burr, GW","Mackin, C",2.0
"Bom, S","Yella, J",2.0
"Bom, S","Zhang, C",2.0
"Burr, GW","Muralidhar, R",2.0
"Burr, GW","Narayanan, P",2.0
"Burr, GW","Narayanan, V",2.0
"Boybat, I","Burr, GW",2.0
"Boybat, I","Chen, A",2.0
"Boybat, I","Chen, CT",2.0
"Jain, S","Mackin, C",2.0
"Boybat, I","Frank, MM",2.0
"Jain, S","Muralidhar, R",2.0
"Baderot, J","Barra, V",2.0
"Chen, A","Chen, CT",2.0
"Baderot, J","Martinez, S",2.0
"Baderot, J","Mazauric, L",2.0
"Burr, GW","Sebastian, A",2.0
"Chen, A","Frank, MM",2.0
"Boybat, I","Jain, S",2.0
"Chen, CT","Jain, S",2.0
"Hallal, A","Martinez, S",2.0
"Cheng, MX","Jia, YX",2.0
"Jain, S","Narayanan, P",2.0
"Deng, YF","Liu, F",2.0
"Hallal, A","Mazauric, L",2.0
"Chen, A","Jain, S",2.0
"Boybat, I","Mackin, C",2.0
"Boybat, I","Muralidhar, R",2.0
"Boybat, I","Narayanan, P",2.0
"Boybat, I","Narayanan, V",2.0
"Frank, MM","Mackin, C",2.0
"Frank, MM","Muralidhar, R",2.0
"Chen, CT","Mackin, C",2.0
"Chen, CT","Muralidhar, R",2.0
"Chen, CT","Narayanan, P",2.0
"Chen, CT","Narayanan, V",2.0
"Boybat, I","Sebastian, A",2.0
"Cheng, MX","Zhao, ZY",2.0
"Chen, A","Mackin, C",2.0
"Chen, A","Muralidhar, R",2.0
"Chen, A","Narayanan, P",2.0
"Chen, A","Narayanan, V",2.0
"Bao, ZY","Nie, JH",2.0
"Cheng, MX","Zheng, H",2.0
"Jain, S","Sebastian, A",2.0
"Barra, V","Foucher, J",2.0
"Jia, YX","Zhao, ZY",2.0
"Jia, YX","Zheng, H",2.0
"Li, J","Liang, XX",2.0
"Li, J","Wei, SM",2.0
"Barra, V","Hallal, A",2.0
"Liang, XX","Wei, SM",2.0
"Liang, XX","Zhang, XY",2.0
"Liu, F","Wu, B",2.0
"Lu, Y","Shen, JW",2.0
"Barra, V","Mazauric, L",2.0
"Barra, V","Sanou, IW",2.0
"Ma, RJ","Xu, H",2.0
"Mackin, C","Muralidhar, R",2.0
"Mackin, C","Narayanan, P",2.0
"Mackin, C","Narayanan, V",2.0
"Mackin, C","Sebastian, A",2.0
"Martinez, S","Sanou, IW",2.0
"Mazauric, L","Sanou, IW",2.0
"Li, J","Zhang, XY",2.0
"Muralidhar, R","Narayanan, P",2.0
"Muralidhar, R","Narayanan, V",2.0
"Muralidhar, R","Sebastian, A",2.0
"Narayanan, P","Narayanan, V",2.0
"Narayanan, P","Sebastian, A",2.0
"Narayanan, V","Sebastian, A",2.0
"Shon, J","Woo, SS",2.0
"Tang, MJ","Tu, J",2.0
"Tang, MJ","Wong, KKL",2.0
"Tu, J","Wong, KKL",2.0
"Wang, R","Yuan, ZW",2.0
"Wei, SM","Zhang, XY",2.0
"Yella, J","Zhang, C",2.0
"Zhao, ZY","Zheng, H",2.0
"Ahsan, I","Burr, GW",1.0
"Ahsan, I","Chen, A",1.0
"Ahsan, I","Chen, CT",1.0
"Ahsan, I","El Maghraoui, K",1.0
"Ahsan, I","Fasoli, A",1.0
"Ahsan, I","Frank, MM",1.0
"Ahsan, I","Friz, AM",1.0
"Ahsan, I","Gordon, T",1.0
"Ahsan, I","Ho, CE",1.0
"Ahsan, I","Hosokawa, K",1.0
"Ahsan, I","Ishii, M",1.0
"Ahsan, I","Jain, S",1.0
"Ahsan, I","Kohda, Y",1.0
"Ahsan, I","Lammie, C",1.0
"Ahsan, I","Le Gallo, M",1.0
"Ahsan, I","Levin, TM",1.0
"Ahsan, I","Liou, ZW",1.0
"Ahsan, I","Luquin, J",1.0
"Ahsan, I","Mackin, C",1.0
"Ahsan, I","Muralidhar, R",1.0
"Ahsan, I","Narayanan, P",1.0
"Ahsan, I","Narayanan, V",1.0
"Ahsan, I","Okazaki, A",1.0
"Ahsan, I","Rasch, M",1.0
"Ahsan, I","Sebastian, A",1.0
"Ahsan, I","Simon, W",1.0
"Ahsan, I","Smith, H",1.0
"Ahsan, I","Teehan, S",1.0
"Ahsan, I","Tsai, H",1.0
"Ahsan, I","Vasilopoulos, A",1.0
"Aklekar, D","Bhure, C",1.0
"Aklekar, D","Che, WJ",1.0
"Aklekar, D","Saqib, F",1.0
"Akyash, M","Azar, K",1.0
"Akyash, M","Kamali, H",1.0
"Akyash, M","Mashnoor, N",1.0
"Alam, M","Mitra, P",1.0
"Alam, M","Mukhopadhyay, D",1.0
"Alam, M","Shukla, S",1.0
"Ambrogio, S","Boybat, I",1.0
"Ambrogio, S","Buchel, J",1.0
"Ambrogio, S","Burr, GW",1.0
"Ambrogio, S","Chen, A",1.0
"Ambrogio, S","Chen, CT",1.0
"Ambrogio, S","El Maghraoui, K",1.0
"Ambrogio, S","Fasoli, A",1.0
"Ambrogio, S","Frank, MM",1.0
"Ambrogio, S","Friz, AM",1.0
"Ambrogio, S","Gordon, T",1.0
"Ambrogio, S","Ho, CE",1.0
"Ambrogio, S","Hosokawa, K",1.0
"Ambrogio, S","Ishii, M",1.0
"Ambrogio, S","Jain, S",1.0
"Ambrogio, S","Kohda, Y",1.0
"Ambrogio, S","Lammie, C",1.0
"Ambrogio, S","Le Gallo, M",1.0
"Ambrogio, S","Levin, TM",1.0
"Ambrogio, S","Liou, ZW",1.0
"Ambrogio, S","Luquin, J",1.0
"Ambrogio, S","Mackin, C",1.0
"Ambrogio, S","Muralidhar, R",1.0
"Ambrogio, S","Narayanan, P",1.0
"Ambrogio, S","Narayanan, V",1.0
"Ambrogio, S","Okazaki, A",1.0
"Ambrogio, S","Rasch, M",1.0
"Ambrogio, S","Sebastian, A",1.0
"Ambrogio, S","Simon, W",1.0
"Ambrogio, S","Smith, H",1.0
"Ambrogio, S","Teehan, S",1.0
"Ambrogio, S","Tsai, H",1.0
"Ambrogio, S","Vasilopoulos, A",1.0
"Amiri, N","Guo, JW",1.0
"Amiri, N","Wang, Y",1.0
"Amiri, N","Yu, LY",1.0
"Amiri, N","Zhang, S",1.0
"Arshad, S","Chae, MS",1.0
"Arshad, S","Ha, MH",1.0
"Arshad, S","Kim, SH",1.0
"Arshad, S","Park, TH",1.0
"Arshad, S","Yun, SC",1.0
"Azar, K","Kamali, H",1.0
"Azar, K","Mashnoor, N",1.0
"Baderot, J","Benezeth, Y",1.0
"Baderot, J","Bricq, S",1.0
"Baderot, J","Marzani, F",1.0
"Bae, S","Jeon, J",1.0
"Bae, S","Kim, S",1.0
"Bae, S","Kwon, H",1.0
